experiment_id,keep_ratio,task,status,metric,value,stderr,result_path,notes
EXP-20260502-002,0.50,textcaps_val,completed,"textcaps_ROUGE_L,none",0.47201155453868954,N/A,/workspace/VFlowOpt/experiments/EXP-20260502-002-llava15-vflowopt-keep50-20/outputs/keep050/textcaps_val/models__llava-v1.5-7b/20260502_191907_results.json,
EXP-20260502-002,0.50,textvqa_val,completed,"exact_match,none",0.4520799999999998,0.006787661540607393,/workspace/VFlowOpt/experiments/EXP-20260502-002-llava15-vflowopt-keep50-20/outputs/keep050/textvqa_val/models__llava-v1.5-7b/20260502_170435_results.json,
EXP-20260502-002,0.20,chartqa_local,completed,"relaxed_augmented_split,none",0.1304,0.009528342114069667,/workspace/VFlowOpt/experiments/EXP-20260502-002-llava15-vflowopt-keep50-20/outputs/keep020/chartqa_local/models__llava-v1.5-7b/20260502_202237_results.json,
EXP-20260502-002,0.20,chartqa_local,completed,"relaxed_human_split,none",0.1936,0.011180126483298348,/workspace/VFlowOpt/experiments/EXP-20260502-002-llava15-vflowopt-keep50-20/outputs/keep020/chartqa_local/models__llava-v1.5-7b/20260502_202237_results.json,
EXP-20260502-002,0.20,chartqa_local,completed,"relaxed_overall,none",0.162,0.00737049046209694,/workspace/VFlowOpt/experiments/EXP-20260502-002-llava15-vflowopt-keep50-20/outputs/keep020/chartqa_local/models__llava-v1.5-7b/20260502_202237_results.json,
EXP-20260502-002,0.20,coco2017_cap_val,running,,,,/workspace/VFlowOpt/experiments/EXP-20260502-002-llava15-vflowopt-keep50-20/logs/run_keep020_caption_rouge_20260502_130230.log,progress=29% (1435/5000)
EXP-20260502-002,0.20,docvqa_val_local,failed,,,,/workspace/VFlowOpt/experiments/EXP-20260502-002-llava15-vflowopt-keep50-20/outputs/failed_tasks_20260502_090431.csv,exit_code=137; ended_at=2026-05-02T12:22:33+00:00
EXP-20260502-002,0.20,gqa_local,completed,"exact_match,none",0.5919860073143584,0.004382326378106766,/workspace/VFlowOpt/experiments/EXP-20260502-002-llava15-vflowopt-keep50-20/outputs/keep020/gqa_local/models__llava-v1.5-7b/20260502_195309_results.json,
EXP-20260502-002,0.20,mme_local,completed,"mme_cognition_score,none",374.2857142857143,N/A,/workspace/VFlowOpt/experiments/EXP-20260502-002-llava15-vflowopt-keep50-20/outputs/keep020/mme_local/models__llava-v1.5-7b/20260502_202902_results.json,
EXP-20260502-002,0.20,mme_local,completed,"mme_percetion_score,none",1491.9532813125252,N/A,/workspace/VFlowOpt/experiments/EXP-20260502-002-llava15-vflowopt-keep50-20/outputs/keep020/mme_local/models__llava-v1.5-7b/20260502_202902_results.json,
EXP-20260502-002,0.20,mmvet,skipped,,,,,OPENAI_API_KEY not set; run.sh skips mmvet
EXP-20260502-002,0.20,textvqa_val,completed,"exact_match,none",0.4235599999999988,0.006740361397904209,/workspace/VFlowOpt/experiments/EXP-20260502-002-llava15-vflowopt-keep50-20/outputs/keep020/textvqa_val/models__llava-v1.5-7b/20260502_194131_results.json,
