ratio,keep_dir,task,primary_metric_name,primary_metric_value,metrics_json,result_json,model_source,model_name,model_args,limit,original_samples,effective_samples,comparable
0.10,keep010,mmbench_en_dev_local,"gpt_eval_score,none",80.58419243986255,"{""gpt_eval_score,none"": 80.58419243986255}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/student_ep20/keep010/mmbench_en_dev_local/ckpts__llava-onevision-qwen2-7b-ov-hf/20260430_083240_results.json,llava_onevision_student,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,student_path=/workspace/zap/ckpts/student_onevision_A_ep20,keep_ratio=0.10,device=cuda:0",,4329,4329,True
0.10,keep010,mme_local,"mme_percetion_score,none",1544.734593837535,"{""mme_cognition_score,none"": 412.5, ""mme_percetion_score,none"": 1544.734593837535}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/student_ep20/keep010/mme_local/ckpts__llava-onevision-qwen2-7b-ov-hf/20260430_095750_results.json,llava_onevision_student,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,student_path=/workspace/zap/ckpts/student_onevision_A_ep20,keep_ratio=0.10,device=cuda:0",,2374,2374,True
0.10,keep010,scienceqa_img_local,"exact_match,none",0.9360436291522063,"{""exact_match,none"": 0.9360436291522063}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/student_ep20/keep010/scienceqa_img_local/ckpts__llava-onevision-qwen2-7b-ov-hf/20260430_102630_results.json,llava_onevision_student,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,student_path=/workspace/zap/ckpts/student_onevision_A_ep20,keep_ratio=0.10,device=cuda:0",,2017,2017,True
0.10,keep010,vizwiz_vqa_val_local,"exact_match,none",0.6081268812225068,"{""exact_match,none"": 0.6081268812225068}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/student_ep20/keep010/vizwiz_vqa_val_local/ckpts__llava-onevision-qwen2-7b-ov-hf/20260430_103702_results.json,llava_onevision_student,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,student_path=/workspace/zap/ckpts/student_onevision_A_ep20,keep_ratio=0.10,device=cuda:0",,4319,4319,True
0.25,keep025,mmbench_en_dev_local,"gpt_eval_score,none",80.84192439862544,"{""gpt_eval_score,none"": 80.84192439862544}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/student_ep20/keep025/mmbench_en_dev_local/ckpts__llava-onevision-qwen2-7b-ov-hf/20260430_083240_results.json,llava_onevision_student,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,student_path=/workspace/zap/ckpts/student_onevision_A_ep20,keep_ratio=0.25,device=cuda:0",,4329,4329,True
0.25,keep025,mme_local,"mme_percetion_score,none",1555.4736894757905,"{""mme_cognition_score,none"": 420.3571428571429, ""mme_percetion_score,none"": 1555.4736894757905}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/student_ep20/keep025/mme_local/ckpts__llava-onevision-qwen2-7b-ov-hf/20260430_095750_results.json,llava_onevision_student,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,student_path=/workspace/zap/ckpts/student_onevision_A_ep20,keep_ratio=0.25,device=cuda:0",,2374,2374,True
0.25,keep025,scienceqa_img_local,"exact_match,none",0.9365394149727317,"{""exact_match,none"": 0.9365394149727317}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/student_ep20/keep025/scienceqa_img_local/ckpts__llava-onevision-qwen2-7b-ov-hf/20260430_102715_results.json,llava_onevision_student,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,student_path=/workspace/zap/ckpts/student_onevision_A_ep20,keep_ratio=0.25,device=cuda:0",,2017,2017,True
0.25,keep025,vizwiz_vqa_val_local,"exact_match,none",0.6080574206992374,"{""exact_match,none"": 0.6080574206992374}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/student_ep20/keep025/vizwiz_vqa_val_local/ckpts__llava-onevision-qwen2-7b-ov-hf/20260430_103801_results.json,llava_onevision_student,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,student_path=/workspace/zap/ckpts/student_onevision_A_ep20,keep_ratio=0.25,device=cuda:0",,4319,4319,True
0.50,keep050,mmbench_en_dev_local,"gpt_eval_score,none",80.84192439862544,"{""gpt_eval_score,none"": 80.84192439862544}",/workspace/VFlowOpt/experiments/EXP-20260429-005/outputs/student_ep20/keep050/mmbench_en_dev_local/ckpts__llava-onevision-qwen2-7b-ov-hf/20260430_083241_results.json,llava_onevision_student,/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,"pretrained=/workspace/zap/ckpts/llava-onevision-qwen2-7b-ov-hf,student_path=/workspace/zap/ckpts/student_onevision_A_ep20,keep_ratio=0.50,device=cuda:0",,4329,4329,True
